"TagName","TagDef"
"Auth.Secrets.Permission","Secrets could not be accessed due to a permission issue"
"Auth.Secrets.RubyScriptExpiry","A secret required for execution of a Ruby script expired"
"Auth.Secrets.SubscriptionExpiry","Any outage where an expired subscription contributed to or caused the impact"
"Auth.Secrets.TokenExpiry","An issue related to expiration of a token"
"Auth.Software.LicenseExpiry","An issue caused by expiration of a license the service uses"
"Authoring","Issues related to authoring things like code, config, TSGs etc... "
"Authoring.Code.BackwardCompatibility ","An issue related to the deployed code not being backwards compatible with older versions"
"Authoring.Code.BadMerge.Change","An issue related to a merge of code check-ins"
"Authoring.Code.Bug","A bug was introduced in the authoring process of the code"
"Authoring.Code.Bug.AtScale","A bug introduced in the authoring process of code that only shows up when the service was actually run at a higher scale "
"Authoring.Code.Bug.Change","A code bug that was caused by change in the code"
"Authoring.Code.Bug.Change","A bug was introduced in the authoring process of the code"
"Authoring.Code.Bug.Latent","A bug existed but some other combination of events exposed it"
"Authoring.Code.Bug.OpsTool","An issue related to a bug in a tool used by the service, operation or other team"
"Authoring.Code.Bug.RaceCondition","A bug was present which either only showed up in a race condition or created a race condition itself"
"Authoring.Code.Change","An issue related to a change in the service code"
"Authoring.Code.CodeReview","An issue related to the code review process"
"Authoring.Code.Flighting","An issue related to the way code versions are flighted"
"Authoring.Code.Fuzzing","Tagged when an opportunity to use fuzzing to detect problems may exist"
"Authoring.Code.InsufficientRetryLogic","An issue related to when the service uses a retry pattern when appropriate, but the implementation is insufficient "
"Authoring.Code.Latent","A latent issue in the code that was exposed to a change elsewhere"
"Authoring.Code.NoRetryLogic","The service should be using retry pattern when called for, but is not "
"Authoring.Code.SharedCodeBase.Change","A change was made in a shared code base"
"Authoring.Code.VersionMismatch.Change","An issue related to any mismatch of versions of code or code libraries"
"Authoring.Config","An issue related to authoring a configuration."
"Authoring.Config.Change","A change was made to a configuration of any kind"
"Authoring.Config.Change","A change was made to a configuration of any kind"
"Authoring.Config.ConfigReview","An issue related to the config review process"
"Authoring.Config.ConfigReview","An issue related to the config review process"
"Authoring.Config.Consumption.DataSerialization","Parser could not parse the config file   "
"Authoring.Config.Consumption.DataSerialization","Parser could not parse the config file   "
"Authoring.Config.Distribution.IncorrectScope ","Scope of the variable was set incorrectly e.g. Variable value was supposed to be read from the Tenant level and not global level or vice versa.   "
"Authoring.Config.Distribution.IncorrectScope ","Scope of the variable was set incorrectly e.g. Variable value was supposed to be read from the Tenant level and not global level or vice versa.   "
"Authoring.Config.Distribution.IncorrectScope ","Scope of the variable was set incorrectly e.g. Variable value was supposed to be read from the Tenant level and not global level or vice versa.   "
"Authoring.Config.FeatureFlag","The updates were not available because someone forgot to update or remove the Feature flag causing code deployment/initiation issues.  "
"Authoring.Config.FeatureFlag","The updates were not available because someone forgot to update or remove the Feature flag causing code deployment/initiation issues.  "
"Authoring.Config.InvalidValue","Incorrect value or data type was entered"
"Authoring.Config.InvalidValue","Incorrect value or data type was entered"
"Authoring.Config.InvalidValue","Incorrect value or data type was entered"
"Authoring.Config.Latent","A latent configuration issue that was not caused by change to the config"
"Authoring.Config.MissingValidation","An issue related to not validating a config properly"
"Authoring.Config.MissingValidation","An issue related to not validating a config properly"
"Authoring.Config.NetworkRouter","Any outage that is caused by changes in the config related to router settings or has the words PhyNet, Router Config, BGP should be tagged with this"
"Authoring.Config.NetworkRouter","Any outage that is caused by changes in the config related to router settings or has the words PhyNet, Router Config, BGP should be tagged with this"
"Authoring.Config.Others","This tag should be applied if the existing configuration tags cannot be applied since they do not cover the root cause. The outages with this tag will be evaluated to see if a new tag needs to be created or existing tags needs to have a better definition."
"Authoring.Config.Others","This tag should be applied if the existing configuration tags cannot be applied since they do not cover the root cause. The outages with this tag will be evaluated to see if a new tag needs to be created or existing tags needs to have a better definition."
"Authoring.Config.SchemaRule","The schema of the config file was incorrect or missing e.g. Incorrect casing was used e.g., Prd05ChApp instead of prd05chapp or decimal value was entered when integer was expected etc."
"Authoring.Config.SchemaRule","The schema of the config file was incorrect or missing e.g. Incorrect casing was used e.g., Prd05ChApp instead of prd05chapp or decimal value was entered when integer was expected etc."
"Authoring.Config.SchemaRule","The schema of the config file was incorrect or missing e.g. Incorrect casing was used e.g., Prd05ChApp instead of prd05chapp or decimal value was entered when integer was expected etc."
"Authoring.Config.StructureError","The section of new configuration value was entered under a wrong section.    "
"Authoring.Config.StructureError","The section of new configuration value was entered under a wrong section.    "
"Authoring.Config.StructureError","The section of new configuration value was entered under a wrong section.    "
"Authoring.Documentation","There was a documentation gap, mistake or other issue in something that is authored"
"Authoring.Documentation.Cert","An issue related to documentation about the service's usage of certificates "
"Authoring.Documentation.MissingTsgId","The Trouble Shooting Guide ID was missing"
"Authoring.Documentation.NoOrInsufficientTSG","The DRI either lacked or had an insufficient Trouble Shooting Guide in terms of accuracy as well as efficiency"
"Authoring.Documentation.S360","An issue related to working on an S360 task, such as having improper instructions in the S360 wiki document"
"Authoring.Documentation.Tools","An issue related to documentation about the service's usage of tools"
"Authoring.RunBook.Insufficient","The DRI  had an insufficient runbook in terms of accuracy as well as efficiency"
"Authoring.RunBook.InsuffientForAirGapped","The DRI  had an insufficient runbook for Air Gapped Cloud in terms of accuracy as well as efficiency"
"Authoring.RunBook.Missing","The DRI lacked runbook in terms of accuracy as well as efficiency"
"Authoring.RunBook.NeedsExecutable","The DRI had lacked executable runbook in terms of accuracy as well as efficiency"
"Authoring.RunBook.Stale","The DRI had a stale runbook in terms of accuracy as well as efficiency"
"Authoring.RunBook.WrongInfo","The DRI had incorrect information in the runbook in terms of accuracy as well as efficiency"
"Datacenter.BuildOut.MissedValidation","When building out a new region or zone, there was an error, missing step or missing validation resulting in impactful non-conformity"
"Datacenter.BuildOutError","When building out a new region or zone, there was an error, missing step or other issue resulting in impactful non-conformity"
"Datacenter.BuildOutError.SequenceNotAligned","When building out a new region or zone, there was sequence was not followed which resulting in impactful non-conformity"
"Datacenter.Hardware","Related to hardware provided by or part of the datacenter"
"Datacenter.Hardware.EOL","Hardware that was past it's End Of Life date contributed to impact"
"Datacenter.Network","Catch all for networking related issues not defined with a third level tags"
"Datacenter.Network.Capacity","Network capacity was exceeded, or otherwise insufficient"
"Datacenter.Network.Change","An issue related to a change in the service's networking"
"Datacenter.Network.Config.Change","An issue related to a change in the network configuration"
"Datacenter.Network.Driver","An issue related to a network driver, such as a code bug, outdated version etc…"
"Datacenter.Network.Driver.Change","An issue related to a network hardware driver installation update, change or removal"
"Datacenter.Network.FiberCut","Fiber connecting datacenters was severed"
"Datacenter.Network.Firewall","An issue related to an Incorrectly configured firewall"
"Datacenter.Network.Latency","A delay caused by the network as a whole"
"Datacenter.Network.PacketLoss","An issue caused by packet loss"
"Datacenter.Network.Port","An issue related to a network port"
"Datacenter.Power","An issue related to interruption or other unavailability of power in the datacenter"
"Dependency","Issues related to a dependency the service has, most typically another service but can also be some things where a boundary between teams is present"
"Dependency.AAD","An issue related to a dependency on Azure Active Directory"
"Dependency.AccountsManager","An issue related to a dependency on Accounts Manager"
"Dependency.ADAL","An issue related to a dependency on the Active Directory Authorization Library"
"Dependency.AppService","An issue related to a dependency on App Service"
"Dependency.ARM","An issue related to a dependency on Azure Resource Manager"
"Dependency.AtlasPlatfrom","An issue related to a dependency on Atlas Platform"
"Dependency.AzureCapacityInfrastructureService","An issue related to a dependency on Azure Capacity Infrastructure Service"
"Dependency.AzureCloudShell","An issue related to a dependency on AzureCloudShell"
"Dependency.AzureContainerInstances","An issue related to a dependency on Azure Container Instances"
"Dependency.AzureFilesService","An issue related to a dependency on Azure File Service"
"Dependency.AzureHostAgent","An issue related to a dependency on Azure Host Agent"
"Dependency.AzureKubernetesService","An issue related to a dependency on Azure Kubernetes Service"
"Dependency.AzureMonitorEssentials","An issue related to a dependency on Azure Monitor Essentials"
"Dependency.AzureMySQL","An issue related to a dependency on Azure MYSQL"
"Dependency.AzureNotificationService","An issue related to a dependency on Azure Notification Service"
"Dependency.AzureRT","An issue related to a dependency on Azure Run Time"
"Dependency.AzureSQLDB","An issue related to a dependency on Azure SQLDB"
"Dependency.BatchService","An issue related to a dependency on BatchService"
"Dependency.BuildNotificationService","An issue related to a dependency on Build Notification Service"
"Dependency.C++","An issue related to a dependency on C++"
"Dependency.Communication","A communication gap with a service dependency team contributed to a non-optimal TTM or otherwise affected the ability to resolve the issue in a timeline manner"
"Dependency.CosmosDB","An issue related to a dependency on Cosmos DB"
"Dependency.Database.Connection","An issue related to a dependency on Database Connection"
"Dependency.Databricks","An issue related to a dependency on Databricks"
"Dependency.DNS","An issue related to a dependency on DNS"
"Dependency.DotNet","An issue related to a dependency on DotNet"
"Dependency.dSMS","An issue related to a dependency on Datacenter Secrets Management Service"
"Dependency.dSTS","An issue related to a dependency on Datacenter Security Token Service"
"Dependency.Dynamics","An issue related to a dependency on Dynamics"
"Dependency.ESRP","An issue related to a dependency on Enterprise Security and Release Platform"
"Dependency.ESTS","An issue related to a dependency on Evolved Secure Token Service"
"Dependency.EventHub","An issue related to a dependency on Event Hub"
"Dependency.External.Akamai","An issue related to a dependency on External service Akamai"
"Dependency.External.AndroidSDK","An issue related to a dependency on External Service Android SDK"
"Dependency.External.Cerebata","An issue related to a dependency on External service Cerebeta"
"Dependency.External.Conda","An issue related to a dependency on External service Conda"
"Dependency.External.DigiCert","An issue related to a dependency on External service DigiCert"
"Dependency.External.DockerHub","An issue related to a dependency on External service Docker Hub"
"Dependency.External.GitHub","An issue related to a dependency on GitHub"
"Dependency.External.GoDaddy","An issue related to a dependency on External service GoDaddy"
"Dependency.External.Kubernetes","An issue related to a dependency on External service Kubernetes"
"Dependency.External.LinuxSecureBaseImage","An issue related to a dependency on External service Linux Secure Base Image"
"Dependency.External.MediaCreation","An issue related to a dependency on External service Media Creation"
"Dependency.External.OryxBuildImage","An issue related to a dependency on OryxBuildImage"
"Dependency.External.TelecommunicationProvider","An issue related to a dependency on External Tele Communication Provider"
"Dependency.External.TrelloApis","An issue related to a dependency on External service Trello Apis"
"Dependency.External.Ubuntu","An issue related to a dependency on External service Ubuntu"
"Dependency.Gateway","An issue related to a dependency on Gateway"
"Dependency.Geneva","An issue related to a dependency on Geneva"
"Dependency.KeyVault","An issue related to a dependency on Key Vault"
"Dependency.Kusto","An issue related to a dependency on Kusto"
"Dependency.LogicAppService","An issue related to a dependency on Logic App Service"
"Dependency.ManagedIdentityService","An issue related to a dependency on Managed Identity Service"
"Dependency.MarketPlace","An issue related to a dependency on Market Place"
"Dependency.MDS","An issue related to a dependency on MDS"
"Dependency.MicrosoftDigital","An issue related to a dependency on Microsoft Digital"
"Dependency.MicrosoftEmailOrchestration(MEO)","An issue related to a dependency on Microsoft Email Orchestration"
"Dependency.Network","An issue related to a dependency on the network"
"Dependency.NetworkConnectivity","An issue related to a dependency on Network Connectivity"
"Dependency.NetworkingResourceProvider","An issue related to a dependency on Networking Resource Provider"
"Dependency.Operations Management Suite (OMS)","An issue related to a dependency on Operations Management Suite (OMS)"
"Dependency.OSSDatabases","An issue related to a dependency on OSS Databases"
"Dependency.OSUpgrade.Change","An issue related to a change made to upgrade any operating system version"
"Dependency.Package.Change","An issue related to a change made in a package provided by or used to for a dependency"
"Dependency.PartnerTeam","An issue related to a dependency on Partner Team"
"Dependency.PlatformUpgrade.Change","An issue related to a change made to upgrade the version of any dependency considered a platform"
"Dependency.PolicyAdministrationService","An issue related to a dependency on Policy Administration Service"
"Dependency.PolicyAgent","An issue related to a dependency on Policy Agent"
"Dependency.Portal","An issue related to a dependency on Portal"
"Dependency.PowerApps","An issue related to a dependency on PowerApps"
"Dependency.PowerBI.Gateway","An issue related to a dependency on Power BI Gateway"
"Dependency.PowerShellAPI","An issue related to a dependency on Power Shall API"
"Dependency.PrivateLink","An issue related to a dependency on Private Link"
"Dependency.Purview","An issue related to a dependency on Purview"
"Dependency.RdAgent","An issue related to a dependency on RD Agent"
"Dependency.RedisCache","An issue related to a dependency on Redis Cachie"
"Dependency.RegionalNetworkManager","An issue related to a dependency on Regional Network Manager"
"Dependency.SDK","An issue related to a dependency on an SDK"
"Dependency.SDK.Cosmos","An issue related to a dependency on Cosmos SDK"
"Dependency.SDK.Storage","An issue related to a dependency on Storage SDK"
"Dependency.ServiceBus","An issue related to a dependency on Service Bus"
"Dependency.ServiceFabric","An issue related to a dependency on Service Fabric"
"Dependency.Services.CodeBug","An issue related to a code bug in a service dependency"
"Dependency.ServiceTreeEngineeringTeam","An issue related to a dependency on Service Tree Engineering Team"
"Dependency.ShortTimeout.TreatmentAssignmentService","An issue related to a short timeout period when  Treatment Assignment Service"
"Dependency.SimpleMailTransferProtocol","An issue related to a dependency on Simple Mail Transfer Protocol"
"Dependency.SQL","An issue related to a dependency on SQL"
"Dependency.SQLDB","An issue related to a dependency on SQLDB"
"Dependency.Storage","An issue related to a dependency on Storage"
"Dependency.SynapsePlatformService","An issue related to a dependency on Synapse Platform Service"
"Dependency.TrafficManager","An issue related to a dependency on TrafficManager"
"Dependency.TreatmentAssignmentService","An issue related to a dependency on the Treatment Assignment Service"
"Dependency.VMHardware","An issue related to a dependency on Virtual Machine Hardware"
"Dependency.VMSS","An issue related to a dependency on Virtual Machine Scale Sets"
"Dependency.WebRoleCloudService","An issue related to a dependency on Web Role Cloud Service"
"Deployment","Issues related to deployment of code or config"
"Deployment.ARMManifest.Change","An issue related to a change in the ARM Manifest"
"Deployment.AZDeployer","An issue related to using AZ Deployer"
"Deployment.BlastRadius.Change","An change caused an increase in the blast radius of the impact"
"Deployment.Bypassed.PreProdEnvironment","Deployment was not deployed in Pre Prod Environments"
"Deployment.Concurrency","An issue related to concurrency between different deployments"
"Deployment.Config.CodeConfigVersionMismatch","This should be applied to instances when the outage was caused because the code version was not compatible with the configuration version e.g. During deployment to 4 regions one of the region had older code but the new configurations were deployed causing outage for that region since the configuration and the code were not compatible."
"Deployment.Config.Consumption.DataSerialization","Parser could not parse the config file   "
"Deployment.Config.Consumption.Drift","Local configuration overrides are directly deployed creating drift between the as-built (the configuration deployed) and the configuration in the base systems of record e.g. someone made direct changes to the production config file but those changes were never merged into the master copy causing those changes to be overwritten when next configuration updates are deployed.  "
"Deployment.Config.Consumption.Drift","Local configuration overrides are directly deployed creating drift between the as-built (the configuration deployed) and the configuration in the base systems of record e.g. someone made direct changes to the production config file but those changes were never merged into the master copy causing those changes to be overwritten when next configuration updates are deployed.  "
"Deployment.Config.Distribution.IncompatibleVersion","Incorrect version of the config file was loaded e.g. with Release 80, instead of Version 5 config file, version 4 config was loaded. Configuration version needs to have an explicit version dependency against service (code) versions   "
"Deployment.Config.Distribution.IncompatibleVersion","Incorrect version of the config file was loaded e.g. with Release 80, instead of Version 5 config file, version 4 config was loaded. Configuration version needs to have an explicit version dependency against service (code) versions   "
"Deployment.ConflictingChanges.Change","Conflicting changes were made during a deployment"
"Deployment.Dependency.Change","An issue related to a change in a dependency"
"Deployment.Deployed.IncorrectPackage","Deployed incorrect package during a deployment"
"Deployment.DeploymentItself.Change","A change to the way deployment is done caused impact"
"Deployment.Environment.Canary.Mismatch","The service's Canary deployment does not match it's other regions in a way that meant it did not help detect the issue"
"Deployment.Environment.NationalCloud.Mismatch","The service's National deployment does not match it's other regions "
"Deployment.ManualTouch.Change","An issue related to any number of manual touches that changed the deployment"
"Deployment.ManualTouch.Change","An issue related to any number of manual touches that changed the deployment"
"Deployment.MissingPrerequisite.Change","A change was made to a deployment and now a prerequisite is missing"
"Deployment.Mitigation.Failed","A mitigation applied during deployment was not effective"
"Deployment.Mitigation.ManualTouch","An issue related to a manual touch done specifically to mitigate something during a deployment"
"Deployment.Mitigation.NoRollback","No rollback path exists or the knowledge and tools for rolling back were insufficient"
"Deployment.Mitigation.RollbackChange","A change made to the way things roll back contributed to impact"
"Deployment.NoFeatureFlag","A feature flag that could have prevented the issue was missing"
"Deployment.Patching","An issue related to Patching"
"Deployment.RaceCondition.Change","An issue related to a race condition between two different deployments that must be synchronized caused by change"
"Deployment.RaceCondition.Latent","An issue related to a race condition between two different deployments that must be synchronized that has existed"
"Deployment.Recovery.SoftDelete","An issue related to not having soft deletion when it would have helped reduce impact or time to recover"
"Deployment.SDP","An issue related to Safe Deployment Practices"
"Deployment.SDP.Cert.ByPassed","A cert deployment had one or more steps that bypassed safe deployment protections"
"Deployment.SDP.Cert.ByPassed","A cert deployment had one or more steps that bypassed safe deployment protections"
"Deployment.SDP.Cert.InsufficientBakeTime","The issue could have been caught if more time were allowed for it to hit a broader range of permutations through the system"
"Deployment.SDP.Cert.InsufficientBakeTime","The issue could have been caught if more time were allowed for it to hit a broader range of permutations through the system"
"Deployment.SDP.Code","An issue related to Safe Deployment Practices of code"
"Deployment.SDP.Code.AvailabilityZone","An issue around the way the code can or cannot work when deployed into an availability zone"
"Deployment.SDP.Code.Bypassed","A code deployment had one or more steps that bypassed safe deployment protections"
"Deployment.SDP.Code.CaughtInCanary","The code deployment issue was detected in the Canary environment"
"Deployment.SDP.Code.Flighting","Safe Deployment Practices were not followed when flighting changes during a deployment"
"Deployment.SDP.Code.InsufficientBakeTime","The issue could have been caught if more time were allowed for it to hit a broader range of permutations through the system"
"Deployment.SDP.Code.NoStandardTool","Non-standard or non-approved deployment tools were used"
"Deployment.SDP.Code.NotCaughtInCanary","The issue was not caught in the Canary environment"
"Deployment.SDP.Code.Secrets","An issue related to the way the code access or uses secrets"
"Deployment.SDP.Code.StageGuidance","Proper guidance around how code deployments should advance through the various rings or stages was not followed"
"Deployment.SDP.Code.Validation","An issue around the way the code is validated during deployment"
"Deployment.SDP.Config","An issue related to Safe Deployment Practices of config"
"Deployment.SDP.Config.BreakGlass","Someone directly changed config on the target node(s) and broke the service. "
"Deployment.SDP.Config.BreakGlass","Someone directly changed config on the target node(s) and broke the service. "
"Deployment.SDP.Config.IncorrectVersionRollout","The incorrect version of the configuration file was rolled out e.g. team is in the process of rolling out code version N+1, a new configuration rollout against code version N was serialized behind the code rollout.  "
"Deployment.SDP.Config.IncorrectVersionRollout","The incorrect version of the configuration file was rolled out e.g. team is in the process of rolling out code version N+1, a new configuration rollout against code version N was serialized behind the code rollout.  "
"Deployment.SDP.Config.MissingSDP","Configuration deployment does not follow Safe Deployment Practices"
"Deployment.SDP.Config.MissingSDP","Configuration deployment does not follow Safe Deployment Practices"
"Deployment.SDP.Config.NoLKG","Covers cases where a service was not able to rollback a bad config in the target. "
"Deployment.SDP.Config.NoLKG","Covers cases where a service was not able to rollback a bad config in the target. "
"Deployment.SequenceNotAligned","An issue related to the sequence of steps in a deployment"
"Detection","Issues related to detecting problems before they affect production"
"Detection.Monitoring","Issues related to detecting issues with monitoring"
"Detection.Monitoring.AlertDidNotFire","An alert that was correctly configured to detect the issue did not fire"
"Detection.Monitoring.AlertTooSlow","An alert that was correctly configured arrived too late, or with impactful delay"
"Detection.Monitoring.Bug","An issue related to a bug in monitoring"
"Detection.Monitoring.CertDeployment.InsufficientHealthSignal","The Cert deployment did not encompass positive health signals from the target services and deployed the latest configuration causing failures.  "
"Detection.Monitoring.CodeDeployment.InsufficientHealthSignal","The code deployment did not encompass positive health signals from the target services and deployed the latest configuration causing failures.  "
"Detection.Monitoring.ConfigDeployment.InsufficientHealthSignal","The configuration deployment did not encompass positive health signals from the target services and deployed the latest configuration causing failures.  "
"Detection.Monitoring.ConfigDeployment.InsufficientHealthSignal","The configuration deployment did not encompass positive health signals from the target services and deployed the latest configuration causing failures.  "
"Detection.Monitoring.InCorrectThreshold","An alert threshold was set incorrectly, and did not detect the issue"
"Detection.Monitoring.InsufficientTelemetry","An issue related to lack of signals"
"Detection.Monitoring.MissingAlert","An alert is missing, but telemetry and signals exist"
"Detection.Monitoring.MissingAlert.Cert","An alert is missing during cert deployment, but telemetry and signals exist"
"Detection.Monitoring.MissingCustomerScenario","Monitoring to detect a specific customer scenario is missing"
"Detection.Monitoring.NoAutoTriage","Autotriage does not exist for the monitoring signals"
"Detection.Monitoring.NoSLOInstrumentation","An SLO is missing"
"Detection.Monitoring.PlatformGap","An issue related to a platform gap in monitoring"
"Detection.Monitoring.Synthetic","An issue related to active monitoring"
"Detection.Monitoring.Synthetic.MissingAlert","An issue related to active monitoring not having an alert "
"Detection.Monitoring.Synthetic","An issue related to active monitoring"
"Detection.Monitoring.Synthetic.MissingAlert","An issue related to active monitoring not having an alert "
"Detection.Monitoring.WrongAlertSeverity","An otherwise correctly configured alert was set to the wrong severity"
"Detection.Validation.BackwardCompatibility ","The validation methods in place were not backward compatible"
"Detection.Validation.BackwardCompatibility ","An issue related to not validating that something is backwards compatible before being put into production"
"Detection.Validation.CanaryNotProd","The canary environment being used is not a production environment"
"Detection.Validation.Cert","An issue related to not validating a certificate properly"
"Detection.Validation.Cert","An issue related to not validating a certificate properly"
"Detection.Validation.CertDeployment.MissingTest","A cert deployment validation that could have detected the issue was missing"
"Detection.Validation.Chaos","Chaos testing may be able to detect or help measure impact and should be investigated as a means of validating behavior"
"Detection.Validation.Chaos","Chaos testing may be able to detect or help measure impact and should be investigated as a means of validating behavior"
"Detection.Validation.CodeDeployment.MissingTest","A code deployment validation that could have detected the issue was missing"
"Detection.Validation.ConfigDeployment.MissingTest","A config deployment validation that could have detected the issue was missing"
"Detection.Validation.ConfigDeployment.MissingTest","A config deployment validation that could have detected the issue was missing"
"Detection.Validation.FaultInjection","Fault Injection may be able to detect or help measure impact and should be investigated as a means of validating behavior"
"Detection.Validation.ForwardCompatibility","The validation methods in place were not forward compatible"
"Detection.Validation.ForwardCompatibility","The validation methods in place were not forward compatible"
"Detection.Validation.Fuzzing","Fuzzing should be investigated as a way to help detect these types of issues"
"Detection.Validation.IntegrationTest.Missing","An integration test that could have detected the issue was missing"
"Detection.Validation.IntegrationTest.MissingEnvironment","An integration test that could have detected the issue was missing environment"
"Detection.Validation.IntegrationTest.NotCaughtInCanary","An integration test that could have detected the issue in Canary environment was missing"
"Detection.Validation.IntegrationTest.NotCaughtInCanary","The issue was not caught in the Canary environment or another environment that could have detected it before it impacted production"
"Detection.Validation.IntegrationTest.NotRun","An integration test that could have detected the issue was not run"
"Detection.Validation.IntegrationTest.ResultIgnored","An integration test result was ignored  that could have detected the issue"
"Detection.Validation.ManualTest.Missing","A manual test that could have detected the issue was missing"
"Detection.Validation.ManualTest.NotRun","A manual test that could have detected the issue was not run"
"Detection.Validation.ManualTest.ResultIgnored","A manual test result was ignored  that could have detected the issue"
"Detection.Validation.MissingIntegrationTesting","An integration test that could have detected the issue was missing"
